wl,W2.P,W4.P,W10.P,W12.P,W16.P,W26.P,Y16.P,Y19.P,Y27.P
617.23291,27.360908,17.51122033,22.992686,29.855411,29.40675433,36.930404,36.410754,31.893776,17.83158567
617.571472,27.44130967,17.57163667,22.98310467,29.842936,29.44002533,36.91297267,36.48098633,31.93898267,17.858632
617.910034,27.50337233,17.60040533,22.890161,29.869612,29.45729933,36.96673267,36.448835,31.923465,17.83907767
618.248535,27.52924933,17.63765,22.89440733,29.88348833,29.413263,36.99958167,36.44659167,31.897361,17.80556833
618.586975,27.544859,17.65430267,22.88540567,29.89753667,29.35253733,37.07442233,36.504968,31.94299867,17.819951
618.925293,27.62536933,17.64333733,22.85562267,29.93030933,29.38818033,37.07178633,36.568301,31.957702,17.82935867
619.263672,27.64429067,17.67987267,22.828007,29.93085267,29.42306033,37.03408467,36.55390567,31.94512033,17.85919567
619.60199,27.65598933,17.70394233,22.840191,29.85655367,29.39626,37.06121967,36.655735,31.95991467,17.83017733
619.940247,27.621862,17.670934,22.79478833,29.800703,29.39716967,37.12133933,36.67857467,31.91323233,17.845497
620.278442,27.624983,17.685678,22.72761767,29.834931,29.41075933,37.05282933,36.63664267,31.90273733,17.84993833
620.616638,27.592231,17.685154,22.75658167,29.83861233,29.40962167,36.996064,36.67814233,31.96060433,17.75056233
620.954773,27.625849,17.759955,22.77481667,29.791154,29.409267,36.96796767,36.63962933,31.942664,17.692516
621.292847,27.653396,17.69374833,22.81060633,29.83518933,29.395319,37.04159933,36.61186233,31.914978,17.719876
621.630859,27.61528533,17.70327667,22.799738,29.80426433,29.42409733,37.04081367,36.58987933,31.98678533,17.76150067
621.968872,27.665266,17.69276133,22.75903567,29.80306533,29.38041833,37.12723533,36.53627167,32.07833133,17.72771567
622.306763,27.684487,17.702765,22.753658,29.77917467,29.412167,37.10262733,36.575343,32.10408467,17.74911033
622.644653,27.67202733,17.694298,22.746764,29.852619,29.415682,37.095742,36.65444067,32.11730033,17.73401233
622.982605,27.69022933,17.647459,22.73608833,29.85223367,29.43405367,37.061006,36.65029267,32.11072,17.72159167
623.320435,27.713595,17.58577133,22.766512,29.873323,29.44782967,37.13307367,36.628872,32.165696,17.68253033
623.658203,27.72814067,17.56275033,22.75854733,29.84508,29.521934,37.16824833,36.655684,32.19666933,17.75798667
623.995911,27.69278367,17.54748967,22.75341733,29.80165533,29.515463,37.24282067,36.69750467,32.13659467,17.759945
624.333618,27.72530933,17.52807567,22.83077033,29.78826967,29.531054,37.159553,36.64116167,32.13138467,17.712145
624.671204,27.711087,17.49842867,22.82240867,29.820102,29.56297667,37.232577,36.64638033,32.144841,17.67859
625.00885,27.65685033,17.45187233,22.83604767,29.79073367,29.53225433,37.32182433,36.66647967,32.18007833,17.70375033
625.346375,27.69835567,17.41196033,22.84777433,29.78600067,29.535637,37.40818767,36.64683667,32.185993,17.769278
625.683899,27.687099,17.445671,22.86502267,29.79919633,29.59337667,37.400172,36.600975,32.175909,17.77237133
626.021362,27.59009233,17.45759733,22.88598333,29.80870967,29.56810567,37.38140867,36.52145767,32.22236167,17.77914833
626.358765,27.54086433,17.437489,22.878543,29.80627333,29.60949833,37.395573,36.55024733,32.251296,17.797413
626.696167,27.55873033,17.408474,22.84398067,29.89471933,29.60224667,37.388124,36.50994367,32.287416,17.82056333
627.033447,27.63413,17.41613033,22.87446467,29.92777,29.635356,37.38183567,36.52388667,32.30941433,17.82339033
627.370728,27.62750367,17.459291,22.901514,29.931917,29.610883,37.42226733,36.525201,32.257937,17.85056633
627.708008,27.652635,17.47218967,22.87680367,29.92219467,29.637666,37.442368,36.49762333,32.23627567,17.923261
628.045166,27.60157467,17.49975033,22.84077233,29.93854,29.62901867,37.453765,36.497945,32.28638633,17.96997667
628.382385,27.54139267,17.52644667,22.841987,29.95661567,29.584756,37.40626067,36.518299,32.32309833,17.90208867
628.719421,27.55881067,17.532881,22.87380367,29.94855233,29.54479333,37.432815,36.55435667,32.32691633,17.88123767
629.056519,27.50543267,17.537633,22.86025467,29.96961833,29.53940233,37.41232267,36.57343133,32.30864133,17.913919
629.393494,27.444435,17.53204867,22.83673933,29.99965867,29.52556767,37.43603867,36.53102767,32.29484567,17.91216667
629.730469,27.48339633,17.54466233,22.843649,29.97926667,29.544263,37.41514533,36.52330133,32.28079933,17.907062
