wl,NpBW1.WY,NpBW2.WY,NpBW3.WY,NpSY1.WY,NpSY2.Y
349.503784,38.728401,12.59478167,9.740816,22.258825,9.935545
349.870911,38.71828233,12.573403,9.707504,22.20166467,9.913011333
350.238007,38.699991,12.718438,9.696125667,22.13388733,9.947584
350.605072,38.68643367,12.74232367,9.728281333,22.09210167,9.924156667
350.972107,38.628353,12.75302267,9.77714,22.11652233,9.960429333
351.339111,38.58108967,12.80289733,9.725224,22.11562267,10.039092
351.706085,38.56200933,12.838127,9.808655667,22.11838667,10.134995
352.073029,38.45423433,12.81609467,9.816299,22.113617,10.08452133
352.439972,38.441141,12.834065,9.795179667,22.158692,10.08365833
352.806824,38.424666,12.837406,9.704890333,22.152639,10.08889133
353.173676,38.39834933,12.89417967,9.685964,22.124287,10.094357
353.540466,38.39209867,12.871848,9.685818333,22.10496,10.123035
353.907257,38.270445,12.878471,9.710597667,22.14047633,10.17018267
354.273987,38.29017767,12.94413,9.705346,22.17373833,10.09898733
354.640747,38.27131233,12.95329333,9.853388,22.22123367,10.06272367
355.007446,38.156355,12.94295667,9.804284667,22.26408133,10.04449033
355.374115,38.105714,13.003047,9.87035,22.298303,10.000243
355.740723,38.029033,13.062968,9.959072333,22.29120267,10.08340567
356.1073,38.007519,13.11754767,10.01931167,22.31679133,10.09306
356.473846,38.008496,13.18884933,10.11563433,22.23821667,10.07752933
356.840393,37.987131,13.255554,10.146856,22.29572333,10.10627967
357.206879,37.945142,13.291248,10.160027,22.305287,10.061598
357.573364,37.90306033,13.32236533,10.24831933,22.293381,10.05733567
357.939789,37.98096367,13.38764333,10.340724,22.26277267,10.02503533
358.306213,37.98770567,13.47550567,10.44376633,22.21239767,10.06674267
358.672577,38.08115133,13.52132,10.51678833,22.191874,10.090816
359.03891,38.08024033,13.56166233,10.62479767,22.209414,10.137104
359.405212,38.076871,13.64062967,10.67727633,22.224899,10.20214667
359.771484,38.11863233,13.697455,10.75144967,22.23891267,10.21369167
