wl,PgBW1.W,PgOB1.W,PgOB2.W,PgOB3.W,PgOB4.W,PgSY1.W,PgSY2.Y,PgSY3.W,PgSY4.W,PgSY5.W
365.993286,76.81386333,61.904106,18.59641733,57.764365,47.318494,70.28142533,8.357562667,87.71145133,71.06457,83.49597933
366.359009,76.92639667,62.02185433,18.68766767,57.77571867,47.39635833,70.40981567,8.442706333,87.73451,71.81464633,83.30198933
366.72467,76.937841,62.24824767,18.67869267,57.86006567,47.34573867,70.475365,8.535719333,87.83884433,72.66118233,83.31619533
367.090302,76.80188,62.165901,18.69763067,57.919422,47.33213033,70.565473,8.585516333,87.81893433,73.49907933,83.33859533
367.455902,76.79564433,62.26706933,18.77057133,58.02367267,47.40032067,70.609965,8.732947333,87.777692,74.24756233,83.304329
367.821503,76.78123733,62.402367,18.80019467,58.09872433,47.41496267,70.70218133,8.777338,87.88405867,75.004247,83.29200233
368.187012,76.840355,62.51187367,18.79069067,58.095332,47.44132233,70.812243,8.700640667,87.87827267,75.77447267,83.305903
368.552521,76.71691133,62.624981,18.829089,58.11686067,47.48861433,70.90234633,8.764667333,87.93922433,76.64781433,83.20597067
368.917999,76.78072333,62.729969,18.81476033,58.230536,47.57779433,70.933492,8.821892,88.13987267,77.35985033,83.12228167
369.283447,76.73731467,62.63268067,18.841912,58.30417633,47.614764,70.81514733,8.862454667,88.22155267,77.934723,83.02380133
369.648865,76.48740633,62.71271767,18.86246467,58.41482567,47.572704,70.95236733,8.926773667,88.04577367,78.553014,82.79467533
370.014282,76.44454967,62.82833,18.997722,58.478203,47.48993033,70.93851,9.035593667,87.915067,79.117148,82.64221467
370.379608,76.29022733,62.88803333,19.10033933,58.563432,47.562116,70.91115333,9.150532,88.01880133,79.64105733,82.51007833
370.744904,76.22530367,63.04091267,19.14610467,58.66724933,47.61808133,71.173373,9.303678667,87.98159067,80.034434,82.49262
371.110168,76.17281333,63.00614567,19.211786,58.71103033,47.59879167,71.154129,9.406215667,88.06039433,80.586881,82.37668367
371.475403,76.27041333,63.07425967,19.28958067,58.76818333,47.610892,71.217313,9.491722333,87.919169,81.35985067,82.27392833
371.840637,76.20282733,63.08360933,19.26535867,58.91061033,47.59606933,71.24859867,9.540427667,87.96056867,81.85622133,82.399648
372.205841,76.36043567,63.19830167,19.26832767,58.93245333,47.559007,71.28689567,9.61462,88.01295967,82.447515,82.25022867
372.570984,76.22909533,63.19237767,19.276659,58.88497933,47.567927,71.31787633,9.693577333,88.029541,83.01096333,82.21760533
372.936127,76.204778,63.20616667,19.312046,59.01641067,47.57160333,71.25340267,9.717947667,87.85207333,83.46767167,82.16096267
373.301208,76.181015,63.076121,19.38064733,59.11955367,47.62817233,71.13193033,9.777808,87.82566833,84.01178267,82.084096
373.66626,76.291883,63.014909,19.37210233,59.261706,47.68229067,71.06099967,9.82684,87.905281,84.498024,81.93995167
374.03125,76.18582133,63.07523067,19.329798,59.38707867,47.730305,71.051262,9.848292333,87.902682,85.02445,81.94491333
374.39624,76.255267,62.98575067,19.441559,59.53013367,47.742503,71.03280667,9.922495,87.896309,85.46383633,81.90253967
374.7612,76.22572333,63.013883,19.49298733,59.63151167,47.829994,70.967804,10.00073,87.72433467,85.778188,81.93911
375.12616,76.21444967,62.87079233,19.50831267,59.60075133,47.79718267,71.011472,10.06978567,87.68092867,86.23119867,82.01092033
375.491028,76.18433633,62.844139,19.531545,59.66642667,47.888321,71.008278,10.149374,87.72232067,86.50919367,82.083534
