wl,EtBW7.W,EtBW19.W
498.615936,57.50293867,51.215153
498.968628,57.497124,51.18283967
499.321289,57.504426,51.18437467
499.67392,57.48928333,51.20382067
500.026489,57.50249367,51.190175
500.379089,57.45489367,51.18589533
500.731598,57.402364,51.187534
501.084076,57.462902,51.13934967
501.436493,57.50449133,51.17801033
501.788879,57.52322767,51.23394767
502.141205,57.468787,51.25900033
502.49353,57.47473933,51.259796
502.845795,57.418744,51.280118
503.19812,57.43260067,51.22159333
503.550293,57.455395,51.23819633
503.902466,57.47385167,51.26076767
504.254578,57.46204767,51.236099
504.606659,57.44882467,51.24425767
504.95871,57.462995,51.20536833
505.310699,57.38954667,51.17146833
505.66275,57.29555267,51.17041
506.014679,57.236612,51.15326067
506.366547,57.18785367,51.13939267
506.718384,57.12153133,51.07041167
507.070221,57.073059,50.99033
507.421997,57.021431,51.00340267
507.773712,56.981616,51.031587
508.125397,56.953641,51.00588333
508.477112,56.952184,51.01156133
508.828735,56.820198,51.01013167
509.180328,56.83276633,50.96891533
509.53186,56.805435,50.93795267
509.883362,56.77066167,50.902995
510.234833,56.73402767,50.90314367
510.586273,56.67907733,50.91988
510.937622,56.65595467,50.89788167
511.289032,56.61967233,50.911376
511.64035,56.59594067,50.91014967
511.991608,56.56279767,50.859815
512.342834,56.48826067,50.90779233
512.69397,56.50885633,50.90098567
513.045166,56.49442167,50.945015
513.396301,56.50085433,50.98646133
513.747314,56.52642433,50.93284633
514.09845,56.49963,50.93385433
514.449463,56.49122467,50.98073067
514.800415,56.52729033,51.00651167
515.151367,56.46672967,50.96691633
515.502197,56.47232933,50.93236933
515.853027,56.39037833,50.93377033
516.203796,56.362423,50.94701
516.554565,56.31611733,50.978531
516.905396,56.315983,51.00698467
517.256042,56.268583,51.00702433
517.606689,56.255726,50.977104
517.957336,56.29060633,50.95810167
518.307861,56.26846167,50.95227167
518.658386,56.22561633,50.94249367
519.00885,56.184929,50.91775033
519.359314,56.157618,50.96375267
519.709778,56.13253033,50.90701167
520.060181,56.12485,50.863665
520.410461,56.088881,50.82570167
520.760803,56.06428933,50.74781533
521.111023,55.99842333,50.80838667
521.461182,56.01208233,50.84757233
521.81134,55.983504,50.82279867
522.161499,55.94436767,50.77074567
522.511658,55.92097733,50.760961
522.861694,55.866254,50.83563833
523.211731,55.82384867,50.81547167
523.561707,55.8406,50.777987
523.911621,55.80848167,50.74784733
