wl,W1,W2,W3,W4,W9,W10,W11,W12,W14,W16,W17,W18,W19,W20,W20.1,W21,W22,W23,W24,W25,W26,W27
623.995911,62.23218567,36.09911567,47.86868033,47.55825533,36.31488433,42.300373,42.13539533,33.48623167,29.69961533,58.44532267,38.027261,35.567773,46.629477,37.52734,55.79722333,52.76441467,57.99243833,35.47575133,51.30065667,59.67334233,35.57125233,28.15970367
624.333618,62.34351867,36.08963133,47.875449,47.56587367,36.32270433,42.255708,42.03453967,33.506572,29.70179733,58.566377,38.01691667,35.53059967,46.71970633,37.513787,55.86626067,52.77561833,57.999147,35.52418867,51.25337733,59.688188,35.41611333,28.148379
624.671204,62.37956267,36.10707467,47.91779467,47.57112733,36.285751,42.24089433,42.04603033,33.633632,29.69721867,58.643319,38.04789867,35.51842933,46.81043867,37.61767333,55.93097067,52.72681667,57.912665,35.51226133,51.28521467,59.64541267,35.40130367,28.18241367
625.00885,62.35047033,36.04614533,47.85793833,47.58867367,36.28557733,42.136266,42.08393333,33.81088933,29.77267067,58.658765,38.10540767,35.52117267,46.75000767,37.689638,56.00466033,52.74829467,57.91605133,35.49145233,51.30380267,59.563216,35.445039,28.17406233
625.346375,62.29495133,36.071621,47.88147633,47.57666167,36.20926033,42.114928,42.05937433,33.78855333,29.769803,58.76182433,38.16556567,35.57057633,46.73027667,37.61704667,56.03799933,52.77810933,57.88453167,35.51312,51.31305567,59.45174933,35.49514633,28.15203467
625.683899,62.36477033,36.082054,47.86119867,47.658577,36.199829,42.105643,42.14267467,33.82764967,29.736419,58.845187,38.13960267,35.66533967,46.77258567,37.59301667,56.03991033,52.773496,57.890503,35.49278133,51.329913,59.57606133,35.44807167,28.123968
626.021362,62.31870133,36.043598,47.96247,47.65631,36.176061,42.121474,42.18983733,33.800296,29.71519567,58.90421567,38.13958367,35.76451567,46.78259433,37.58631967,56.08673333,52.75439333,57.91431533,35.562828,51.23007333,59.55077367,35.417436,28.092903
626.358765,62.307307,36.00394167,47.96429567,47.595254,36.191452,42.164008,42.246732,33.829859,29.69573467,59.00595467,38.15978733,35.773494,46.764361,37.621692,56.06248733,52.75265,58.030543,35.59634433,51.270209,59.60044467,35.39233133,28.12281233
626.696167,62.423224,35.999256,47.89493567,47.571458,36.235147,42.169773,42.31496667,33.827421,29.650844,58.98290533,38.15685367,35.77366833,46.78131233,37.70368233,56.164701,52.73957467,58.13483067,35.66385367,51.20272967,59.67138167,35.39106367,28.18399633
627.033447,62.355305,36.043269,47.84184533,47.542295,36.26898067,42.15171667,42.33115367,33.814804,29.622844,59.05060467,38.1253,35.71222967,46.78435533,37.68448333,56.23250967,52.74922067,58.210612,35.66180933,51.26779167,59.58463033,35.35224567,28.19350967
627.370728,62.460556,36.00505333,47.88074133,47.499762,36.29607267,42.066625,42.319992,33.78313833,29.595666,59.086048,38.15454333,35.67955133,46.81782267,37.74118033,56.223896,52.764922,58.276544,35.72157133,51.278437,59.571253,35.35928867,28.179107
627.708008,62.51497767,36.02161667,47.925705,47.49053967,36.33375433,42.10591367,42.370322,33.85618133,29.62072967,59.07424933,38.155018,35.69746767,46.85526533,37.798889,56.23541867,52.82361367,58.35307667,35.77903867,51.173869,59.56387467,35.35723133,28.14852967
628.045166,62.596616,36.08403267,47.92279567,47.496245,36.33586233,42.020185,42.35591167,33.86312567,29.57254167,59.14043433,38.20341267,35.684707,46.96273667,37.79944867,56.31282533,52.907959,58.307813,35.73005567,51.22340133,59.65250133,35.28657767,28.134381
628.382385,62.570998,36.10256967,47.95240167,47.48691533,36.33959167,42.057902,42.401853,33.92062533,29.59723433,59.209998,38.20402233,35.73663933,47.03229267,37.85194533,56.26179633,52.91723233,58.182837,35.744886,51.27062567,59.65264133,35.29811333,28.17348033
628.719421,62.575428,36.02565767,48.04451367,47.490274,36.29755267,42.11582067,42.49740967,33.93135933,29.659015,59.22198233,38.182602,35.717437,47.01153967,37.78721267,56.311539,52.97334933,58.19007,35.78212233,51.21353533,59.64616267,35.364324,28.18188833
