wl,Y1,Y2,Y3,Y4,Y5,Y6,Y9,Y10,Y11,Y12,Y13,Y14,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27
326.312164,19.618139,9.757502333,13.82718033,12.79883533,10.94268867,12.41003133,12.112741,9.486268333,11.64408933,11.897272,17.78475067,11.22186333,17.66140367,18.88938567,21.65353967,15.939545,14.108465,12.31744233,16.132426,9.237667667,14.17309767,17.48445233,13.70023367
326.681244,19.58517467,9.700182,13.85340433,12.87089433,10.93824267,12.42896733,12.07633433,9.575814333,11.65112833,11.89958667,17.818007,11.21386533,17.790108,18.75632667,21.73630667,15.857733,14.09314633,12.28105567,16.10230033,9.109355667,14.22865333,17.484837,13.68620767
327.050262,19.61942767,9.562410667,13.90157867,12.983127,11.006388,12.455153,11.96843967,9.511685333,11.594513,11.895129,17.791658,11.28402633,17.83616967,18.75832767,21.73538567,15.92008033,14.09218367,12.29535833,16.02567767,9.071355667,14.185265,17.51136933,13.653781
327.41925,19.56124133,9.435179333,13.88744033,13.03058467,10.97951633,12.48439533,11.81410133,9.442605667,11.613847,11.90462067,17.75160433,11.27501833,17.866764,18.74350667,21.79995333,15.90556267,14.07636233,12.27084367,15.97381233,9.186289667,14.17665033,17.517118,13.60947533
327.788239,19.61594667,9.370717667,13.91017567,13.11161833,10.97043967,12.50623133,11.820941,9.410301,11.67705067,11.85718633,17.710145,11.284692,17.82759533,18.70102633,21.84219567,15.85290533,14.100174,12.331328,15.95970633,9.235685333,14.22964467,17.526262,13.55803067
328.157166,19.58628167,9.401455333,13.87970233,13.118989,10.968444,12.54118567,11.79414567,9.367504667,11.647301,11.88504867,17.75077433,11.24408067,17.82643033,18.666174,21.94477267,15.97986067,14.20665267,12.35032767,15.92595767,9.284770667,14.300323,17.51844433,13.51478867
328.526123,19.59728767,9.334561667,13.86691533,13.195458,10.968323,12.52881067,11.738494,9.357487,11.61231067,11.89466233,17.73625,11.16280633,17.96637367,18.67056567,21.896246,15.88748133,14.234334,12.37623733,15.91325833,9.388491,14.32328667,17.40324633,13.559633
328.894989,19.63043733,9.379420333,13.854145,13.20684533,10.96841667,12.56310633,11.76104833,9.361534333,11.56675267,11.944473,17.61063433,11.14482567,17.988342,18.728618,22.03134233,15.861333,14.203777,12.31286133,15.89485033,9.397382667,14.37987,17.35802933,13.492477
329.263885,19.70303133,9.365912333,13.846785,13.12088033,10.89934333,12.611133,11.64341533,9.325534,11.612324,11.892683,17.56980933,11.16940067,17.994346,18.74772767,21.99618333,15.71001333,14.28415467,12.27336567,15.966215,9.435324333,14.37664833,17.29133367,13.52959333
329.63269,19.63929233,9.411718667,13.86830967,13.177475,10.942315,12.601658,11.60041167,9.313036,11.56057933,11.867205,17.63354667,11.12653533,17.94979833,18.74856267,21.93375967,15.67065167,14.33115133,12.33125933,16.03642533,9.374708667,14.40067933,17.22947567,13.504732
330.001495,19.64745767,9.370096667,13.96195,13.161499,10.90540633,12.564502,11.657096,9.367812333,11.48572433,11.88628233,17.64461967,11.031919,18.04152267,18.727085,21.99162667,15.62784067,14.35828067,12.43875267,16.07218633,9.446639,14.424735,17.307815,13.44836067
330.37027,19.628547,9.398624333,13.96254467,13.204882,10.96788033,12.54489433,11.62610233,9.389081333,11.36721533,11.897214,17.72698067,11.05485367,18.10020533,18.64896033,21.974383,15.664184,14.41547867,12.45711167,16.10203833,9.476982333,14.495677,17.401902,13.43164067
