wl,AkBW1.Y,AkBW2.W,AkOB2.WY,AkOB3.Y,AkOB4.Y,AkOB5.Y,AKOB6.Y,AkOB7.Y,AkOB8.Y,AkSY1.Y,AkSY2.Y,AkSY3.WY,AkSY4.Y,AkSY5.WY
328.526123,8.907737667,73.930724,9.583941667,18.600678,12.172972,5.566675667,7.658222333,10.511562,10.97148733,7.249253,15.52522,16.263506,4.665577667,26.34916367
328.894989,8.930144667,74.55952567,9.558687,18.62491367,12.19273033,5.617089667,7.637951333,10.642554,10.99228367,7.30425,15.59791367,16.397783,4.749263667,26.252603
329.263885,8.936623667,75.14143233,9.540153333,18.61688433,12.18152867,5.559,7.638621333,10.63735667,10.89978767,7.48698,15.54717267,16.56244933,4.718313667,26.18403067
329.63269,8.953945667,75.348863,9.494413,18.60676933,12.13553567,5.635962667,7.685179667,10.54213533,10.83793333,7.511328,15.618017,16.64404,4.712178667,26.149945
330.001495,8.928177,75.81892133,9.530291,18.52688367,12.146617,5.723603,7.552892667,10.50166167,10.94682767,7.613657,15.66572567,16.722069,4.717223333,26.10878667
330.37027,9.023339667,76.23196167,9.542215667,18.48428967,12.08260133,5.590722667,7.483823,10.46995667,10.96031733,7.601859333,15.70058133,16.80896767,4.762093333,26.004202
330.738983,9.086471333,76.570586,9.491892667,18.44027267,11.986674,5.494933667,7.409697,10.42099367,10.935821,7.646736,15.75,16.788541,4.721415667,26.01586067
331.107697,9.146517333,76.82195167,9.553281667,18.48537767,11.975319,5.515051333,7.416390333,10.42490833,10.97570367,7.699535667,15.75252433,16.88821467,4.791829667,26.04561433
331.476379,9.135737333,77.00884,9.581389667,18.49194167,11.97118633,5.486942667,7.396742667,10.44899467,11.009733,7.751095,15.87065833,16.91924467,4.804426333,26.04707033
331.845032,9.119520333,77.27679433,9.537226,18.487725,11.991788,5.624699,7.332095,10.29073167,10.94475567,7.695998667,15.85538267,16.971563,4.769527,26.05498767
332.213654,9.135995,77.30964033,9.529509,18.468216,11.99739333,5.609498333,7.287383,10.19651133,10.928608,7.613961667,15.84495967,17.028119,4.775792,26.00122367
332.582245,9.148101,77.35579933,9.487819667,18.38525533,12.03612933,5.659092,7.268827333,10.16274467,10.88140367,7.584793,15.834262,17.02134633,4.777564333,26.06769867
332.950806,9.217787667,77.36056267,9.449358333,18.41386967,11.99762633,5.618425667,7.244681667,10.25768567,10.85097,7.489824667,15.787315,17.17845,4.839021333,26.05881333
333.319305,9.281911667,77.53784333,9.404143,18.34529567,11.96302767,5.647847667,7.256396,10.22712533,10.781656,7.489185,15.74029833,17.29645533,4.838495333,26.082053
