wl,W1.1.W,W2.1.W,W3.1.W,W4.1.W,W9.1.W,W10.1.W,W10.1.Y,W11.1.WY,W12.1.W,W12.1.Y,W13.1.W,W13.1.Yl,W13.1.Ys,W14.1.W,W15.1.WY,W15.1.Y,W16.1.W,W17.1.W,W18.1.Wl,W18.1.Y,W18.1.Ws,W19.1.W,W19.1.Y,W20.1.W,W20.1.WY,W21.1.W,W21.1.Y,W22.1.WY,W22.1.Y,W23.1.W,W23.1.Y,W24.1.WY,W24.1.Y,W25.1.Y,W26.1.Y,W27.1.Y
315.225983,23.87363667,59.16385767,44.03471533,59.538186,92.93435433,38.76155733,20.75974633,41.59599067,78.76155333,8.015205667,63.53627633,37.21786867,32.483223,118.858129,35.21980767,33.416019,79.25033833,48.488111,23.321661,26.23968567,56.895855,46.89384567,20.900637,37.97428167,39.44718667,39.1281,5.853091667,31.25834667,12.22010433,28.72523925,17.297118,19.833782,16.68252067,51.736056,36.17172633,19.76717367
315.595947,23.81970833,59.03219367,43.86960233,59.45503733,92.81433367,38.63264333,20.64640033,41.41589867,78.45746633,8.068441667,63.26586133,37.16538867,32.34637467,118.3003897,35.03760733,33.25587267,78.939148,48.32285567,23.14970467,26.13503333,56.78245933,46.61982233,20.81178567,37.81668867,39.285104,39.00872667,5.733670667,31.06609,12.19440933,28.670218,17.33331067,19.73436467,16.671653,51.527892,35.96135333,19.73191767
315.965912,23.80140433,58.927583,43.66571133,59.29838067,92.608345,38.525528,20.52619667,41.19240467,78.08522833,7.996606333,63.05277267,36.93847633,32.169707,117.9695463,34.80213567,33.09399133,78.70847567,48.159991,23.08575433,26.01044467,56.66585033,46.376868,20.70790433,37.616909,39.11947133,38.79798133,5.714028333,30.90047633,12.178146,28.55289075,17.33794667,19.69344067,16.69507233,51.350848,35.78664833,19.68533333
316.335815,23.61045667,58.84008167,43.48269867,58.93362433,92.210805,38.26979567,20.38386667,40.97862,77.763878,7.859481333,62.81961433,36.80724733,31.97377733,117.258288,34.56463533,32.951128,78.298167,47.954113,23.00885633,25.81897233,56.504247,46.18811667,20.60004267,37.394166,38.980779,38.804709,5.695554667,30.772333,12.10188467,28.49446,17.22546667,19.59823167,16.745105,51.24789433,35.751639,19.62322467
316.705688,23.559695,58.73746133,43.278604,58.65515267,91.729009,38.182571,20.21728833,40.79946133,77.399282,7.807875667,62.60178367,36.66455833,31.83062867,116.8085783,34.45198067,32.741712,78.053439,47.61173133,23.00545033,25.737918,56.53586967,45.98120133,20.5027,37.33516033,38.88865933,38.69923667,5.670757667,30.64189267,12.02102067,28.3726095,17.26450333,19.48479367,16.829842,50.93713367,35.57799633,19.63196267
317.075562,23.56964733,58.65950767,43.23065233,58.42435733,91.57858533,38.06794967,20.135247,40.606435,77.14468133,7.850672667,62.54631033,36.494366,31.75789033,116.4583663,34.22644467,32.56265,78.010582,47.46096267,22.964669,25.67834467,56.494268,45.73393767,20.430311,37.325344,38.80573933,38.537533,5.661859667,30.52487467,11.98009033,28.2902775,17.30194733,19.324812,16.77600567,50.605222,35.54916133,19.42959567
317.445374,23.42095,58.64045467,43.13754267,58.22874067,91.338219,37.76198833,20.15500133,40.54703,76.75900767,7.798972,62.21128467,36.28025067,31.56693067,115.9234007,34.19704267,32.40167933,77.70269767,47.27997967,22.81945767,25.478664,56.25897367,45.44122833,20.25800533,37.283236,38.691368,38.39571633,5.740048333,30.40875867,11.853465,28.28536475,17.35497633,19.22008333,16.76108367,50.29868033,35.28706433,19.25586567
317.815216,23.37780133,58.638846,43.005392,58.14776033,91.15121733,37.629835,20.12604533,40.41448733,76.348737,7.720532333,62.19787333,36.14309833,31.48139367,115.230118,34.251203,32.259515,77.41564433,47.10246433,22.69330367,25.394614,56.22305667,45.186072,20.170882,37.18866733,38.538035,38.36070767,5.672286333,30.25713767,11.79153967,28.214037,17.24572633,19.25328833,16.72481867,50.07649733,35.04247967,19.176723
318.184967,23.34361433,58.506948,42.98352933,57.87129133,90.60774967,37.75395667,20.10795033,40.239025,76.07627367,7.709558333,61.891286,36.069167,31.501961,114.6084873,34.26187767,32.12364567,77.301239,46.91763567,22.64404833,25.26672367,56.12352133,45.08803667,20.15214133,37.151456,38.409147,38.22248067,5.695717333,30.170761,11.79603333,28.11725575,17.21835267,19.27390933,16.726457,49.852796,34.95288733,19.13771867
318.554688,23.29108833,58.34797,42.85518367,57.70429133,90.36513533,37.605798,20.06618867,40.17828733,75.826505,7.605688333,61.64364267,36.08742767,31.45094867,114.1779733,34.158647,31.898746,77.16407767,46.72859467,22.55003167,25.214117,55.93937567,44.82209267,20.012082,37.04560733,38.224434,38.08975333,5.755235667,30.14841533,11.86934433,27.97469925,17.13812433,19.202083,16.72047867,49.47706233,34.81814633,19.017227
