wl,W1.2.W.N,W11.2.W.N,W13.2.WY.N,W15.2.W.N,W25.2.W.N
396.598572,56.41590333,61.38145833,29.61762433,40.376538,75.602089
396.961517,56.38878367,61.37690467,29.768141,40.587264,75.62327067
397.324432,56.36842333,61.25171633,29.91092233,40.84069833,75.65404733
397.687286,56.30596567,61.269207,29.997149,41.22069267,75.795166
398.05014,56.21811167,61.16284433,30.11577733,41.52316167,75.91544333
398.412964,56.18742267,61.146095,30.24255733,41.866511,76.00282267
398.775757,56.10679,61.17298133,30.30712633,42.19087867,76.19439933
399.138489,56.07831067,61.182893,30.470288,42.45134833,76.34712233
399.50119,56.04146333,61.21484333,30.60875833,42.73287333,76.42539467
399.863861,56.00858833,61.20086967,30.800767,43.025069,76.544828
400.226471,55.835683,61.104828,30.9556,43.326215,76.70119733
400.589081,55.69734067,61.08730333,31.112154,43.497355,76.90224233
400.951691,55.544075,61.107778,31.23813533,43.85415267,77.07748433
401.314209,55.379936,61.08806367,31.43043133,44.11564133,77.12532567
401.676758,55.31508267,61.042287,31.596396,44.32813533,77.06624367
402.039185,55.265963,61.05690367,31.775226,44.67986533,77.32144133
402.401642,55.11569233,61.069374,31.92828233,44.85684467,77.44608567
402.764038,55.027298,61.08361567,32.05777933,45.07355233,77.65280667
403.126404,55.03397233,61.03911867,32.18474267,45.400065,77.77850333
403.488739,55.01998667,60.942486,32.272051,45.767705,77.75331633
403.851074,55.01351433,60.94740033,32.40360133,46.06352967,77.81760133
404.213348,54.95013067,60.98405933,32.527554,46.27015067,77.875277
404.575592,54.858996,60.97621133,32.64532867,46.576908,77.91543833
404.937775,54.83179367,61.00565333,32.80187867,46.90731933,77.947492
405.299927,54.86777267,60.94516367,32.89540367,47.08828767,77.942304
405.662048,54.84661967,60.914866,32.96261133,47.366151,78.09870133
406.024139,54.880815,60.93746067,33.14656133,47.65363467,78.26130133
406.3862,54.88408367,60.85852067,33.25778133,47.99585733,78.32968167
406.74826,54.85453,60.84028367,33.35175,48.29881667,78.44932533
407.11026,54.81125367,60.85882833,33.491266,48.65953967,78.45143867
407.47226,54.759514,60.77770633,33.62654033,48.99883167,78.57778667
407.834167,54.80259067,60.80202967,33.70305067,49.3279,78.660769
408.196075,54.75333,60.87341933,33.77045733,49.716244,78.68799567
408.557892,54.77458033,60.887159,33.935639,50.01452,78.78461167
408.919739,54.841727,60.87740567,34.07052467,50.38927367,78.882449
409.281494,54.86306367,60.820638,34.09708667,50.786621,79.16025267
409.64328,54.82435967,60.89879967,34.15979267,51.109543,79.37518067
410.005035,54.91993467,60.85754,34.211074,51.42972167,79.45667533
410.36673,54.92221833,60.89287167,34.292889,51.84117367,79.56543733
410.728394,54.85828533,60.951752,34.40517,52.1357,79.84630033
411.089966,54.81735333,61.01404967,34.485583,52.36527133,80.02118167
411.451569,54.778969,61.026928,34.57626767,52.716754,80.15170267
411.813141,54.742355,60.95746867,34.64918567,53.05330133,80.307902
412.174652,54.78760667,60.970492,34.756695,53.30632133,80.55741633
412.536163,54.70410267,61.09887167,34.76773567,53.54861967,80.73197933
412.897644,54.68944533,61.17719267,34.85268733,53.931019,80.956253
413.259033,54.69507733,61.25107433,34.97183133,54.24720633,80.98116067
413.620392,54.61615633,61.19967767,35.00382667,54.63733933,81.14283233
413.98172,54.60126,61.190889,35.135442,54.91736,81.319829
414.343048,54.553472,61.21395733,35.20199067,55.30614967,81.43724833
414.704315,54.57786433,61.12029633,35.22690433,55.74517933,81.58745067
415.065582,54.55639133,61.06664767,35.25607167,56.04895933,81.556791
415.426788,54.52919133,61.09179833,35.32336833,56.414617,81.50403867
415.787994,54.50257733,61.055013,35.420044,56.74187333,81.64141333
416.149109,54.53720233,61.02893967,35.43007533,57.01980833,81.64137267
416.510223,54.51359567,60.990697,35.393313,57.34737133,81.69952167
416.871307,54.497302,61.00530133,35.469897,57.69527433,81.77846033
417.23233,54.50030033,60.84425233,35.490224,58.03147867,81.61038233
417.593323,54.391514,60.720323,35.59105933,58.374691,81.623479
417.954315,54.34996433,60.586484,35.61942167,58.64834733,81.561198
418.315247,54.203392,60.52833967,35.66663867,58.99117,81.49012267
418.676178,54.094536,60.52625,35.70305233,59.271493,81.637019
419.037048,54.066204,60.446926,35.77927933,59.52233233,81.644338
419.397858,54.06469967,60.40802267,35.81739667,59.849616,81.73639933
419.758636,54.041416,60.31689467,35.84537233,60.111159,81.710561
420.119415,54.00771467,60.25870633,35.90722533,60.371418,81.64687633
420.480103,53.93725433,60.18068433,35.99120433,60.67290367,81.675031
420.840851,53.91339267,60.124054,35.96006633,60.96262333,81.689425
421.201477,53.891103,60.14358667,35.982755,61.180458,81.63382467
421.562134,53.85578167,60.09919367,35.97579833,61.44583367,81.551356
421.922729,53.82726933,60.034714,35.94247167,61.631546,81.49951933
422.283264,53.82465367,60.02509833,35.966226,61.71839767,81.51774833
422.643799,53.85295233,60.02608333,35.997331,61.983827,81.66756933
423.004242,53.82284433,59.97163933,35.991179,62.17056167,81.79814133
423.364685,53.79987067,60.001643,36.04617167,62.32247667,81.77554333
423.725128,53.74896733,59.924068,36.126395,62.55019633,81.82193267
424.08551,53.68804967,59.894371,36.212653,62.751504,81.83526367
424.445892,53.675954,59.932859,36.24139,63.020107,81.832479
424.806183,53.62535867,59.92839533,36.27625667,63.22559467,81.96293367
425.166473,53.68277367,59.92743967,36.24884267,63.46995433,82.05176033
425.526703,53.67381267,59.96513333,36.307429,63.67708833,82.14932733
425.886902,53.77070867,59.93912267,36.33324433,63.80564633,82.22345233
426.24707,53.825221,59.871661,36.36195133,64.03346767,82.19572733
426.607208,53.79804867,59.925897,36.35158167,64.25459533,82.25231167
426.967316,53.73339067,59.94126133,36.353962,64.449599,82.28162933
