wl,W2,W3,W15,W16,W17,W18,W25,W26,Y2,Y4,Y16,Y18,Y27,Ak1,Ak2,Ak4,Ak5,AkOB4,Cl,Et1,Et4,Et13,Lh1,Lh2,Lh3,Lh5,Lh6,Lh7,Lh8,Lh9,Lh10,Np,Np1,Np2,Np3,Np4,Np9,Np20,Np23,Np27,Pg3
309.672821,7.457850667,4.540697667,10.015298,8.139794,14.01074167,17.43237967,45.862906,7.599593333,10.26756667,11.44009367,8.434854333,7.735720667,10.71617067,11.885211,23.91700967,19.73552867,9.873784,11.28901233,12.67676333,3.825405333,11.72194333,6.236240667,12.340381,21.00698733,14.84320667,11.32727367,5.619320667,7.105285667,8.161943333,17.33270167,19.52059633,6.642260667,10.478897,12.59513467,4.112203667,8.527278,13.24736933,7.267126,14.174887,5.836926333,6.454935667
310.043243,7.426034667,4.525184667,9.937883,8.10525,13.92569767,17.39152867,45.63589567,7.54502,10.23188767,11.38607967,8.482110333,7.739756667,10.641425,11.81501367,23.88159467,19.64491833,9.895520667,11.21054233,12.703621,3.791627333,11.69337633,6.239301667,12.31141167,21.013057,14.931073,11.165479,5.596996,7.046333667,8.111097,17.28628167,19.44603733,6.666665667,10.42160567,12.65907167,4.150203,8.540122667,13.29342967,7.288458667,14.16546033,5.891261333,6.409499333
310.413635,7.390132,4.559613667,9.884365667,8.100324333,13.93539133,17.33729267,45.48688033,7.579596333,10.212698,11.38272467,8.491582333,7.754202333,10.54014933,11.78855,23.82615733,19.567468,9.930699,11.20327833,12.72375933,3.817351667,11.71059433,6.21443,12.246137,20.95052367,14.938897,11.162818,5.600712,7.180054333,8.145196333,17.28200867,19.41453733,6.629204667,10.470341,12.66401,4.200382333,8.506482,13.29945833,7.270524667,14.084928,5.911232333,6.472762333
310.784027,7.434856667,4.525409333,9.880261,8.127173333,13.96872033,17.23026933,45.47327633,7.584586333,10.14633733,11.39498967,8.480364,7.686932333,10.582778,11.79752033,23.715988,19.42885467,9.964715,11.191903,12.73702167,3.892733667,11.67681967,6.264994,12.21474467,20.96844,15.01787233,11.193935,5.532225333,7.289004333,8.181399,17.19882633,19.309492,6.569330333,10.45466633,12.73992033,4.290698333,8.470624333,13.278602,7.288782,14.01712567,5.874685,6.408412333
311.154327,7.391153333,4.486267,9.873699,8.157159,13.89792867,17.20233033,45.316417,7.590491667,10.15415533,11.28170733,8.414862333,7.717400667,10.443328,11.769502,23.72065967,19.43000667,9.918609,11.15116433,12.68677567,3.936837667,11.67899533,6.200872667,12.18042867,20.91444867,14.97721033,11.13653267,5.5338,7.298704667,8.189940333,17.145825,19.28647433,6.518649,10.46888433,12.74452333,4.275984667,8.467828333,13.18648533,7.207372333,13.855521,5.90349,6.413932
311.524628,7.302134,4.418140667,9.821646667,8.09415,13.84511133,17.17024833,45.19764067,7.586360333,10.09646833,11.13013533,8.353597333,7.692265333,10.44349367,11.72751667,23.710223,19.414227,9.932338667,11.05504933,12.69452567,3.969926667,11.62978233,6.210198,12.14023433,20.95720433,14.934158,11.08218267,5.521118333,7.296718,8.177454333,17.110353,19.189922,6.461783333,10.50400767,12.66265233,4.286130667,8.501009333,13.25742833,7.261014,13.759576,5.853424333,6.370082
311.894928,7.303731,4.42667,9.761151333,8.057407333,13.834264,17.196272,45.117851,7.544351333,10.06649167,11.10611033,8.372622333,7.722928667,10.41202833,11.69011767,23.647712,19.404252,9.911927,11.05740033,12.681411,3.978569,11.587208,6.260382,12.19680633,20.869517,14.949767,11.071051,5.576270333,7.289448333,8.112955667,17.03134167,19.12173733,6.462930333,10.549408,12.64891233,4.262830667,8.472005667,13.12670833,7.304290667,13.66476733,5.829001333,6.327723
312.265167,7.284196,4.353063667,9.749639333,8.057486667,13.822318,17.160368,45.03339933,7.487242,10.06962567,11.08735667,8.337030667,7.697466333,10.41411067,11.53636267,23.66490967,19.41481467,9.877191333,11.05434,12.65084433,3.988083333,11.567111,6.280513,12.182454,20.81584533,14.97202767,11.04715367,5.535520667,7.294754667,8.112576,17.06999533,19.08971367,6.494462667,10.47851533,12.65309633,4.145355333,8.472130667,13.118396,7.208745333,13.65896567,5.780746333,6.390215
312.635345,7.294384,4.324777333,9.716489667,8.085067667,13.786964,17.07949033,44.88689833,7.506516333,10.022681,10.98831133,8.286711667,7.656047333,10.39896767,11.54217267,23.652442,19.38933767,9.967627667,11.05782233,12.687561,3.964149333,11.54679667,6.271408,12.15174533,20.79909833,14.95226133,10.96386067,5.539333667,7.22852,8.078184,17.05421233,19.010041,6.448819333,10.530859,12.636372,4.029941333,8.481050667,13.10525767,7.20667,13.55837067,5.823200333,6.400687
313.005524,7.300109,4.318571667,9.709122,8.085941,13.75954033,17.08311733,44.742822,7.469598,10.00600767,10.98311733,8.278158667,7.609393667,10.42055067,11.505865,23.58446167,19.35373767,9.911467,10.96309067,12.68682267,3.935023,11.473914,6.322759333,12.11093933,20.66144,15.02089033,10.878009,5.606914333,7.222718333,8.103707,17.05367633,18.89190333,6.519484,10.58286967,12.59757867,3.990199667,8.457690667,13.10653833,7.221369667,13.438333,5.886625333,6.472372667
313.375671,7.331233667,4.235555333,9.666377333,8.001076667,13.677313,17.048357,44.669281,7.491914333,9.957669,10.968443,8.20393,7.547082333,10.433706,11.57336233,23.50332067,19.28972833,9.952694667,10.938433,12.620492,3.874810667,11.43134467,6.348118333,12.15870433,20.710505,14.89440767,10.799761,5.58746,7.204977,7.916133,16.949587,18.79181167,6.542331667,10.58725333,12.579919,3.912266667,8.485317667,13.09886833,7.144698,13.41002467,5.903533,6.424854667
313.745819,7.425886667,4.216793,9.643214667,8.035994,13.65025333,17.00981567,44.59041233,7.529748,9.951514,11.053513,8.105727667,7.577285333,10.46288167,11.55290667,23.45721033,19.22773667,9.956525333,10.82209667,12.705515,3.880824333,11.455078,6.329682,12.059625,20.740394,14.882732,10.86925067,5.602234667,7.145504333,7.86972,16.96113267,18.691083,6.502286,10.586735,12.59965967,3.849211333,8.456981333,13.01188467,7.124963,13.37907667,5.946903,6.431725667
