wl,EtBW1.W,EtBW3.W,EtBW4.WY,EtBW5.W,EtBW6.W,EtOB1.W,EtOB2.W,EtOB3.W,EtOB4.W,EtOB5.W,EtOB6.W,EtOB7.W,EtOB8.W,EtSY1.W,EtSY2.W,EtSY3.W
535.786011,67.353255,111.631368,69.125403,89.79367567,79.19975767,71.20270267,54.492031,50.3377,86.68937667,63.19246067,98.94331867,74.91344433,89.10361767,90.253985,62.21923333,78.124311
536.134521,67.44833467,111.6055527,69.127757,89.697937,79.232829,71.24475333,54.53110633,50.34580367,86.62502067,63.13929733,98.960238,74.89661667,89.18784333,90.258537,62.223494,78.169253
536.483093,67.44050067,111.5529303,69.10719267,89.75660967,79.24786633,71.189313,54.58563067,50.31672433,86.61500333,63.165142,99.02074167,74.92245267,89.113083,90.267291,62.225829,78.13607767
536.831543,67.49777333,111.5628637,69.10639967,89.79667667,79.223564,71.13393633,54.58248533,50.26992433,86.59473167,63.17625467,99.02269767,74.898384,89.119021,90.315666,62.220521,78.13658367
537.179932,67.46073767,111.5794753,69.14615133,89.85906967,79.24346933,71.11867033,54.53239933,50.25857567,86.551216,63.173426,99.15439867,74.92502833,89.08292133,90.299029,62.252665,78.07899733
537.52832,67.43318667,111.483622,69.11499633,89.93880967,79.27353133,71.083855,54.542207,50.27044933,86.596995,63.18340167,99.150406,74.90682233,89.048637,90.27630367,62.29219467,78.16346733
537.876648,67.385531,111.550438,69.12246467,89.976814,79.29270433,71.06675733,54.51122433,50.33152133,86.51583867,63.12960433,99.10683433,74.87109867,89.023051,90.221189,62.286461,78.119731
538.224976,67.35808567,111.604833,69.139735,90.00535833,79.381152,71.10957333,54.545813,50.382927,86.562055,63.15641267,99.125618,74.879565,88.99116267,90.22858967,62.344358,78.11163833
538.573242,67.35343667,111.5728683,69.14521267,89.89751433,79.385048,71.12400833,54.452727,50.42571733,86.53038533,63.14159767,99.179853,74.82756567,88.99324033,90.26000467,62.31656767,78.098882
538.921448,67.26944967,111.701767,69.17525467,89.90810167,79.418195,71.107999,54.425304,50.48626333,86.51587933,63.113491,99.20204667,74.85416433,88.928177,90.19762433,62.360499,78.10821767
539.269714,67.32773967,111.6413217,69.18248733,89.91999533,79.42451967,71.12061067,54.43072133,50.456183,86.52558133,63.04328033,99.11372133,74.86560567,88.95070633,90.140668,62.373296,78.09676367
539.617798,67.37770467,111.6171847,69.17329933,89.87127433,79.45702867,71.079193,54.401535,50.44237267,86.51496367,63.02924867,99.09164167,74.826548,88.933192,90.14202133,62.34910433,77.983424
539.965881,67.399995,111.5659127,69.17204533,89.92640933,79.36361433,71.04718,54.39821733,50.43208167,86.46474467,63.063798,99.041982,74.85306567,88.92059833,90.148514,62.335613,78.018008
540.313965,67.43459433,111.5097987,69.15922133,89.92797067,79.38847067,71.06316367,54.388972,50.43386333,86.50295533,63.11064367,99.00226833,74.84032933,88.92655933,90.12310267,62.331773,78.06354767
540.661987,67.486637,111.4971137,69.14193967,89.96626533,79.41285933,71.098559,54.364432,50.379546,86.50471733,63.09001933,98.944163,74.812116,88.856903,90.07885,62.26583233,78.08243333
541.01001,67.45149633,111.4277723,69.197088,89.95548233,79.42340333,71.08736667,54.31658667,50.39184067,86.490288,63.149494,99.00088233,74.72130067,88.88683833,90.079506,62.257562,78.04481533
541.35791,67.469612,111.4399513,69.26373433,89.98214233,79.49496433,71.10364033,54.28115067,50.393528,86.495041,63.14701067,98.949328,74.753039,88.879537,89.99145767,62.24307633,78.01790633
541.705872,67.47061267,111.4685033,69.250791,89.97726467,79.524864,71.05791967,54.26708467,50.411344,86.45528433,63.137754,98.90880333,74.78075667,88.87625133,89.994939,62.23041167,78.01971167
542.053711,67.487035,111.4981433,69.24247333,89.98155467,79.554733,71.07963067,54.21617767,50.37085867,86.48594167,63.14903633,98.94385033,74.83990467,88.87132267,89.958885,62.209705,78.071251
542.401489,67.446855,111.4432043,69.27347033,90.01560233,79.633799,71.10013333,54.19703567,50.361454,86.49311567,63.110575,98.935412,74.83998633,88.86555467,89.97956067,62.22068033,78.036199
542.749268,67.44388333,111.403544,69.27713867,89.97979733,79.67650367,71.03714233,54.16373333,50.36051433,86.51645633,63.102178,98.90500133,74.86403133,88.922152,89.93286633,62.19043333,78.00275667
543.096985,67.41979833,111.4470647,69.28137733,89.90466533,79.679034,71.04718533,54.174741,50.29715233,86.55151633,63.09627167,98.901568,74.846438,88.96679933,89.981351,62.206215,77.92272967
543.444702,67.36834567,111.4483413,69.228254,89.96536,79.69085433,71.00364167,54.17106233,50.26269167,86.618149,63.13703533,98.87837733,74.82648233,88.91349267,89.91269433,62.20166133,77.92944833
543.792358,67.37323133,111.3863197,69.23726133,89.94156933,79.653506,70.982348,54.118613,50.264436,86.66156267,63.14851,98.87562567,74.84902667,88.90471367,89.92350267,62.131968,77.99563333
544.140015,67.317932,111.3876877,69.25801233,89.84121433,79.66932433,70.967809,54.07788433,50.26856267,86.66784933,63.18004867,98.908076,74.86055033,88.87961833,89.88884767,62.117396,77.987287
544.48761,67.30625167,111.3857903,69.221616,89.80792733,79.624939,70.92874667,54.057747,50.21022433,86.73137933,63.20538333,98.81084667,74.870163,88.89737967,89.824913,62.12719967,77.985555
544.835144,67.326513,111.473325,69.24206067,89.77901467,79.652743,70.938629,54.03336067,50.15829467,86.69234733,63.20220067,98.84858667,74.92583233,88.941686,89.820798,62.062781,77.97517133
545.182617,67.28196067,111.421285,69.248431,89.85344967,79.658801,70.86969233,54.003249,50.05856067,86.72910067,63.27786267,98.83206933,74.97216033,88.92058833,89.78989167,62.014767,78.003731
545.53009,67.25256967,111.406001,69.25085967,89.865992,79.62822433,70.88665667,53.90753167,50.00935,86.74167633,63.24572767,98.76514433,74.89833833,88.969841,89.722458,61.97436,77.95160667
545.877502,67.27113333,111.4679237,69.31261333,89.93739333,79.67565167,70.807316,53.901138,49.95123933,86.79089867,63.272358,98.735799,74.95925633,89.02787767,89.67327867,61.97233333,77.93529767
546.224854,67.30405933,111.429403,69.34478633,89.947525,79.64762633,70.78791933,53.96474833,49.90804033,86.831736,63.313712,98.819776,74.95488733,89.072159,89.665062,61.97662867,77.96226733
546.572205,67.30789433,111.572459,69.379714,89.93041767,79.66475933,70.72029267,53.937701,49.86913933,86.76984433,63.36295933,98.868757,74.92399333,89.05048867,89.68350233,62.012277,77.97496533
546.919495,67.28990833,111.606369,69.43633767,89.957957,79.71645833,70.71500133,53.95281067,49.90637567,86.74547833,63.35159433,98.94977567,74.94115433,89.05273467,89.63945767,62.021187,78.05926533
547.266785,67.26567467,111.7350187,69.43186933,89.89879867,79.79848733,70.789173,53.97993833,49.90794233,86.766225,63.35709533,98.944628,74.97186033,89.084292,89.64083333,62.013598,78.03879
547.614014,67.20486833,111.80528,69.50355633,89.86365,79.72702533,70.77742267,53.99286633,49.89449467,86.687782,63.30436067,98.97704533,75.09008,89.14557133,89.63715867,62.004663,77.97983533
547.961182,67.10247567,111.832794,69.57942333,89.80428267,79.75270833,70.774559,53.99030933,49.95917533,86.72997,63.30478533,99.01281467,75.14469167,89.19241833,89.65698967,62.03935867,77.94005833
548.30835,67.093825,111.9202983,69.53175867,89.833107,79.80574533,70.69367867,53.99421333,49.88237133,86.73460133,63.26645033,99.04069767,75.221855,89.15473167,89.657524,62.05064133,77.984947
548.655396,67.074618,111.9652353,69.52968833,89.774315,79.75456967,70.73103933,54.067814,49.867672,86.66636667,63.27843333,99.22143833,75.18116267,89.23026767,89.613968,62.076973,77.98912067
549.002441,67.00193633,111.9944153,69.51433067,89.78765133,79.87982967,70.76419067,54.01908,49.83804567,86.67312867,63.25217933,99.336624,75.07112367,89.18476367,89.632904,62.13593933,77.96246333
549.349426,67.02272033,112.232521,69.51310367,89.85405733,79.947464,70.733495,54.02296567,49.86427333,86.656204,63.234094,99.39351667,74.980741,89.25157433,89.658529,62.198302,77.99348433
549.696411,66.97968533,112.3869527,69.45701733,89.80514533,79.90945433,70.734446,54.00125367,49.860101,86.63623533,63.28275933,99.37886067,74.999153,89.241516,89.64400467,62.25008133,78.02919767
