wl,AkBW4.W,AkBW4.Y,AkBW15.WY,AkBW17.W
393.693848,54.229154,9.781700667,23.54725567,64.844064
394.057037,54.40284967,9.793451333,23.65075233,64.91598133
394.420197,54.47817867,9.807915,23.80924467,64.94928467
394.783325,54.44353367,9.858934667,23.89447033,65.07378267
395.146484,54.43027767,9.840261,24.00961067,65.21709567
395.509552,54.55019633,9.918824667,24.139375,65.26195167
395.87262,54.66246567,9.934720333,24.20639733,65.37247367
396.235596,54.64217867,10.01803433,24.325932,65.54473367
396.598572,54.625623,10.02814567,24.39598267,65.747087
396.961517,54.56303267,10.05668267,24.495586,65.86694333
397.324432,54.56567133,10.14201167,24.565278,66.05826567
397.687286,54.73509233,10.17767,24.639344,66.206286
398.05014,54.81161333,10.23078167,24.70338033,66.31133767
398.412964,54.88989633,10.33857733,24.861632,66.44691867
398.775757,54.948663,10.443695,24.93193567,66.66708867
399.138489,55.041626,10.49819033,25.12028767,66.776283
399.50119,55.08246867,10.56041667,25.15326567,66.950006
399.863861,55.04809067,10.60435533,25.31330767,67.15996933
400.226471,55.09550367,10.631818,25.40490733,67.42837267
400.589081,55.09278733,10.731897,25.42498967,67.577479
400.951691,55.062482,10.780582,25.532665,67.75558867
401.314209,55.054142,10.94064167,25.63884833,67.99227667
401.676758,54.966872,11.01112867,25.74010867,68.259711
402.039185,54.89877167,11.070262,25.846314,68.51621233
402.401642,54.94528433,11.15704067,25.952135,68.75655633
402.764038,54.925106,11.280121,26.021228,68.96021533
403.126404,54.84264733,11.34425933,26.13391967,69.13684567
403.488739,54.79683433,11.39048267,26.29949133,69.37395
403.851074,54.84605767,11.48162833,26.44018933,69.63156133
404.213348,54.787388,11.561607,26.63806633,69.865466
404.575592,54.81736133,11.66772333,26.73217867,70.03813433
404.937775,54.79602933,11.720743,26.84718267,70.11860167
405.299927,54.73214867,11.756878,27.03276133,70.35729733
405.662048,54.73811967,11.85306967,27.14129,70.587293
406.024139,54.702329,11.871799,27.25968833,70.76249433
406.3862,54.71458567,11.951963,27.38830633,71.027771
406.74826,54.711212,12.055406,27.479655,71.30952967
407.11026,54.68857433,12.19086,27.60774933,71.44983433
407.47226,54.71498833,12.27603833,27.718118,71.68424967
407.834167,54.773477,12.349507,27.83801233,71.94066133
408.196075,54.84709667,12.45975067,27.95774767,72.19487733
408.557892,54.90641767,12.51213633,28.15497467,72.337372
408.919739,54.92281433,12.54708767,28.270064,72.514534
409.281494,54.93643833,12.60594267,28.514198,72.71664167
409.64328,54.96311933,12.73047533,28.688027,72.88770567
410.005035,54.96875533,12.812027,28.88426,73.074379
410.36673,55.07828267,12.868333,29.058986,73.22052267
410.728394,55.091438,12.95075867,29.194394,73.45768233
411.089966,55.11751533,13.009491,29.246671,73.646759
411.451569,55.115589,13.07151467,29.31816433,73.82842267
411.813141,55.221517,13.12955267,29.43321633,73.95901233
412.174652,55.23165,13.23196933,29.60669833,74.22224667
412.536163,55.3257,13.32625,29.73578833,74.50657667
412.897644,55.31496167,13.432175,29.759843,74.72253167
413.259033,55.31995267,13.52520433,29.856264,74.94580067
413.620392,55.30734767,13.684497,29.99820533,75.30887367
413.98172,55.25393933,13.76598233,30.120784,75.497721
414.343048,55.284542,13.85010267,30.296138,75.707593
414.704315,55.29936833,13.94420533,30.51841733,75.92067967
415.065582,55.22433467,14.05896733,30.657619,76.10157767
415.426788,55.13142533,14.23626367,30.76670767,76.23111467
415.787994,55.119493,14.30632833,30.94685033,76.51254267
416.149109,55.14227567,14.43104333,31.00199233,76.82957467
416.510223,55.12415467,14.554938,31.127135,76.98237867
416.871307,55.21364833,14.66760767,31.16902433,77.18878933
417.23233,55.26776533,14.74868767,31.29000233,77.30395767
417.593323,55.17892967,14.840711,31.36130833,77.49936933
417.954315,55.02953433,14.96403133,31.46116833,77.73216
418.315247,55.01497367,15.071765,31.62956733,77.84432233
418.676178,54.99748133,15.20286033,31.80028733,77.98969233
419.037048,54.96813333,15.29917567,31.934528,78.13630167
419.397858,54.985662,15.41174433,32.064628,78.32984167
419.758636,55.07410433,15.47727867,32.132233,78.522606
420.119415,55.02577833,15.575836,32.28281233,78.66821767
420.480103,55.04750433,15.69663467,32.42231533,78.66090133
420.840851,55.01834833,15.78959767,32.59058567,78.789978
421.201477,55.04947533,15.870586,32.70092267,78.895299
421.562134,55.080733,15.96645967,32.848611,79.02922833
421.922729,55.07982633,16.07509367,33.014485,79.150182
422.283264,55.051558,16.178482,33.12571967,79.36029567
422.643799,55.05801133,16.265446,33.28374733,79.53787467
423.004242,55.14252233,16.32905533,33.430075,79.74701167
423.364685,55.16574467,16.432615,33.566309,79.84645067
423.725128,55.15672167,16.502235,33.73375267,79.93915067
424.08551,55.17195767,16.593338,33.87915467,80.18735467
424.445892,55.181531,16.712762,34.047104,80.315005
424.806183,55.15666567,16.85091633,34.15184333,80.56974033
425.166473,55.251414,16.99501667,34.29920233,80.71512867
425.526703,55.38306433,17.11012033,34.504369,80.90253167
425.886902,55.46120567,17.220799,34.63766367,81.106013
426.24707,55.491655,17.32612367,34.83411767,81.33823167
426.607208,55.532977,17.47472133,34.99258567,81.56322467
426.967316,55.55885167,17.59843833,35.141394,81.69287633
427.327393,55.56702933,17.75483933,35.35708533,81.796468
427.687439,55.65658667,17.868959,35.49813033,82.03493767
428.047394,55.73191733,17.99694133,35.66081833,82.327034
428.407379,55.76437133,18.15270667,35.83919033,82.51547967
428.767303,55.81128933,18.27117867,36.01142067,82.66981
429.127167,55.856173,18.42311667,36.15356133,82.922391
429.487061,55.929545,18.55947667,36.24101233,83.14316067
429.846863,56.01531467,18.70404667,36.37940867,83.321378
430.206665,56.15515533,18.89418633,36.57121467,83.53863033
430.566437,56.205275,19.06391867,36.72415167,83.75069667
430.926117,56.205012,19.24099033,36.852827,83.99510467
431.285828,56.30976867,19.41246333,36.972902,84.28184
431.645447,56.403966,19.58289533,37.131872,84.421791
432.005035,56.35353733,19.73959667,37.24701933,84.70098633
432.364655,56.40829567,19.87641733,37.459052,84.877935
432.724182,56.46648667,20.009982,37.61324333,85.092707
433.08371,56.53108733,20.14559033,37.688576,85.33784733
433.443207,56.52469733,20.253592,37.80145767,85.670087
433.802582,56.62213633,20.382497,37.945886,85.88636267
434.162018,56.63502533,20.50361767,38.080916,86.07787567
434.521362,56.67954367,20.61069433,38.19206433,86.28801233
434.880676,56.76879867,20.745427,38.29159767,86.58692667
435.23999,56.736398,20.87387533,38.420198,86.686165
435.599243,56.816901,20.98335833,38.56249833,86.89918233
435.958496,56.86398467,21.116247,38.66414967,87.15330767
436.317657,56.89530567,21.265304,38.75361633,87.343282
436.676819,56.92975367,21.401713,38.90680733,87.41540767
