wl,NpBW1.WY,NpBW4.W,NpBW4.Y,NpBW7.WY,NpBW11.Y,NpBW12.W,NpBW13.W
363.798431,16.03177167,37.85178367,7.148432667,12.512765,9.802487,25.42989467,68.38286333
364.164337,16.20246267,37.891188,7.157344333,12.59436,9.880635,25.535078,68.49095667
364.530182,16.35748833,38.024138,7.163564667,12.683618,9.933690667,25.63324433,68.517774
364.895996,16.47669067,38.12781133,7.220955333,12.78722767,9.995916667,25.719339,68.76953367
365.26181,16.62318167,38.184883,7.261300667,12.896496,10.09673167,25.89104633,68.84338133
365.627563,16.76662733,38.23843,7.359092333,13.014332,10.166426,26.08110967,69.084483
365.993286,16.984553,38.29236867,7.423107333,13.134385,10.25229267,26.34054233,69.418678
366.359009,17.161338,38.405126,7.509057667,13.23830667,10.36466733,26.62258667,69.66986633
366.72467,17.40253367,38.47651533,7.561567,13.38747667,10.499002,26.79303633,69.77140033
367.090302,17.55531633,38.56690367,7.660479333,13.526735,10.56799733,26.96638533,69.939532
367.455902,17.68027867,38.72902167,7.709536,13.67507033,10.70530633,27.159967,70.10719767
367.821503,17.877454,38.78850667,7.813373,13.75294433,10.76795233,27.365725,70.09123
368.187012,18.101349,38.79223,7.834102333,13.83763367,10.789512,27.511088,70.18848433
368.552521,18.30402233,38.865926,7.820865333,13.947607,10.908183,27.723038,70.344312
368.917999,18.45203867,38.951636,7.864452333,13.955662,11.01156733,27.93910033,70.37237533
369.283447,18.56826067,38.97600667,7.963164,14.00551167,11.06688567,28.22227167,70.45054367
369.648865,18.63122633,39.114109,8.016392667,14.03829533,11.16868533,28.401311,70.612241
370.014282,18.82816033,39.17960367,8.006582667,14.080735,11.17805267,28.61085133,70.738561
370.379608,18.92073033,39.14001833,7.977781667,14.22783767,11.23330833,28.79298933,70.866735
370.744904,19.06856267,39.27089433,8.080339667,14.28541,11.30907,29.06911967,70.88324733
371.110168,19.23546167,39.34094733,8.144398333,14.38746867,11.42361,29.186408,71.003123
371.475403,19.40675,39.38933967,8.160933667,14.49816933,11.52554367,29.42209067,71.14829767
371.840637,19.63946867,39.417988,8.154016,14.64156833,11.60299067,29.65785833,71.033722
372.205841,19.74899267,39.372218,8.175873333,14.72432333,11.799357,29.881812,71.01143633
372.570984,19.94375533,39.41783133,8.244333667,14.781487,11.91951633,30.106569,70.90683
372.936127,20.09580167,39.50925833,8.298612667,14.856666,11.94454967,30.30565967,70.88049567
373.301208,20.36703233,39.60139333,8.320746,14.94848167,12.05917567,30.45388,70.86558267
373.66626,20.46020567,39.57417033,8.308771,15.028387,12.146618,30.563024,70.86027267
374.03125,20.721847,39.436512,8.329114333,15.12207567,12.18787867,30.64786567,70.69771333
374.39624,20.87944167,39.41852933,8.394007,15.18604533,12.279383,30.854071,70.83792367
374.7612,21.12890933,39.49599567,8.495185,15.25601933,12.35583533,30.99769733,70.86515833
375.12616,21.28009933,39.514632,8.560001,15.32311767,12.38108,31.16689233,70.866051
375.491028,21.440816,39.477989,8.593663333,15.40719333,12.49336467,31.35562767,70.994064
375.855927,21.63095033,39.48136,8.629466333,15.51154233,12.602829,31.53894633,70.973658
376.220734,21.80925167,39.50445033,8.652724667,15.499261,12.61423133,31.67568067,70.91502367
376.585541,22.008489,39.46633633,8.668685333,15.543213,12.706796,31.86224233,70.97866567
376.950287,22.199194,39.516824,8.669799333,15.66426367,12.76273167,31.94063567,71.02411667
377.315002,22.388888,39.501395,8.694907333,15.75307733,12.82623033,32.170234,71.08344033
377.679688,22.518067,39.54755033,8.721967333,15.84758833,12.88712433,32.32494867,71.134941
378.044373,22.73634467,39.60454333,8.788009667,15.889653,12.89308667,32.52546333,71.036077
378.408997,22.85355167,39.56577067,8.766076333,16.04113,12.95997833,32.639047,71.13268267
378.773621,23.01865967,39.577731,8.73376,16.15178367,13.01913233,32.80452467,71.23535933
379.138184,23.240633,39.587438,8.719790667,16.255051,13.131194,33.07556133,71.29042533
379.502716,23.35972333,39.74626667,8.775717333,16.329329,13.223673,33.313521,71.40867133
379.867188,23.57656367,39.80815633,8.830352333,16.43904033,13.22928067,33.479756,71.520681
380.231659,23.73404833,39.87363567,8.905679,16.53961433,13.25621433,33.65773567,71.611542
380.5961,23.95525867,39.88018267,8.970512,16.69602667,13.43029767,33.783313,71.83015467
380.96051,24.07905767,39.88779567,9.012505333,16.78408933,13.48061833,33.97658267,71.999382
381.324921,24.31265833,40.05950067,9.122725667,16.937189,13.521745,34.26026233,72.099012
381.68924,24.44623967,40.167244,9.225052667,17.091276,13.64723367,34.56013167,72.23428867
382.053528,24.649907,40.247172,9.254607667,17.24958867,13.74676467,34.78608533,72.197464
382.417816,24.81092333,40.28518933,9.207529,17.38670467,13.76602867,35.03191,72.33277133
382.782013,25.03822767,40.29191467,9.217098667,17.51505267,13.87459667,35.17444233,72.244896
383.14621,25.20739433,40.40969867,9.167427667,17.674573,13.911345,35.32584233,72.27782433
383.510406,25.410844,40.58379367,9.224175333,17.74115,13.97225833,35.49071733,72.364998
383.874542,25.54392267,40.66525267,9.268571667,17.926883,14.07356833,35.67173867,72.630877
384.238678,25.700203,40.77075167,9.315875667,18.09284667,14.09977133,35.82889833,72.71905
384.602753,25.77667167,40.829178,9.321698667,18.231664,14.24099233,36.05551267,72.70367433
384.966766,25.92908233,40.87241,9.393359333,18.34441367,14.35043433,36.20719,72.670807
385.33078,26.136932,40.867762,9.444899333,18.413699,14.501079,36.33246633,72.62795233
385.694763,26.23846,41.00199633,9.460677,18.497544,14.62173067,36.45668667,72.80088033
386.058685,26.37801267,41.105302,9.557992333,18.560925,14.72329333,36.60309467,72.84857167
386.422607,26.47129433,41.08318967,9.594529333,18.59034167,14.80586867,36.826205,72.83836367
386.786499,26.52475733,41.13586433,9.645174333,18.68094167,14.86814033,36.936479,72.83754233
387.15036,26.66875833,41.12921,9.650651333,18.770988,14.90951233,37.009093,72.89370733
387.51413,26.880238,41.129655,9.716995,18.89739733,14.93147733,37.27539567,72.875519
387.87793,27.03005633,41.132121,9.738479333,19.05327833,14.97332733,37.46297867,72.90414433
388.241669,27.11529033,41.15538667,9.800076667,19.18128133,14.97633133,37.70263133,72.769671
388.605377,27.273706,41.15788,9.837891,19.34405333,15.03250733,37.906272,72.637909
388.969025,27.41607367,41.168892,9.830167333,19.47600633,15.12134667,38.13222767,72.6337
389.332703,27.576945,41.315093,9.854279333,19.52587,15.181726,38.36788033,72.69524667
389.69632,27.761465,41.45148333,9.926099667,19.69226567,15.21640233,38.51919433,72.81834667
390.059875,27.88795233,41.47123467,9.970509,19.763771,15.27528033,38.73267367,72.75516233
390.423431,28.06687233,41.49127567,9.998185,19.926201,15.27954833,38.97423167,72.76385233
390.786957,28.240886,41.50100067,10.115152,20.02599433,15.34130133,39.107184,72.771937
391.150421,28.353798,41.48725,10.15982167,20.15607567,15.44001533,39.29486367,72.79003167
391.513855,28.53479633,41.48820767,10.239583,20.32201,15.41498933,39.49573533,72.729309
391.877228,28.66702333,41.468496,10.307598,20.49909333,15.47566667,39.69570767,72.72069533
392.240631,28.902528,41.47663633,10.38961767,20.55598833,15.506839,39.91934967,72.82080833
392.604004,29.055973,41.48214333,10.42353867,20.74173933,15.49286033,40.11525467,72.96825433
392.967316,29.21891867,41.56854,10.549676,20.95444267,15.51195967,40.37651833,73.07046767
393.330597,29.33691733,41.591231,10.58266467,21.148034,15.55949167,40.58207067,73.09929133
393.693848,29.539576,41.57822933,10.600528,21.359865,15.54026033,40.82315433,73.16124733
394.057037,29.70653267,41.67299167,10.68396167,21.51277733,15.53263967,40.98949667,73.23609933
394.420197,29.924531,41.704399,10.73081633,21.671902,15.55665333,41.199365,73.35172533
394.783325,30.02454633,41.657795,10.77623867,21.84980467,15.559957,41.47311,73.479047
395.146484,30.09717933,41.74068433,10.75904267,22.00261667,15.626081,41.690304,73.59891
395.509552,30.162077,41.867583,10.783875,22.09566633,15.68574433,41.94696967,73.76811733
395.87262,30.319956,41.94359367,10.80711733,22.202007,15.72913667,42.210351,73.98042067
396.235596,30.530283,42.00744367,10.87269967,22.35573633,15.771403,42.43048367,74.10382367
396.598572,30.696286,42.04077533,10.917293,22.518833,15.857435,42.573517,74.199898
396.961517,30.83949833,41.96334933,10.91756167,22.77396367,15.894185,42.796907,74.35357667
397.324432,30.966712,41.967406,10.952728,22.92197533,15.87786333,43.016716,74.518046
397.687286,31.106995,42.00885267,11.0143,23.102351,15.980319,43.31933067,74.594897
398.05014,31.27105133,42.07105233,11.07116733,23.25190933,16.05102167,43.57549433,74.758985
398.412964,31.47014433,42.15990067,11.07831133,23.49617733,16.04850333,43.864952,74.87471267
398.775757,31.68949,42.153801,11.10204967,23.71702233,16.06609033,44.25617467,75.054006
399.138489,31.824887,42.24373233,11.14116567,23.89427067,16.184232,44.54589733,75.16578167
399.50119,32.074319,42.340341,11.095289,23.96806933,16.194283,44.83922433,75.39045467
