wl,PgBW8.W,PgBW10.W
425.166473,52.493866,47.713796
425.526703,52.55175533,47.721133
425.886902,52.534533,47.805289
426.24707,52.57824467,47.88275167
426.607208,52.59786733,47.96676633
426.967316,52.648659,48.02940867
427.327393,52.60800033,48.141383
427.687439,52.63811867,48.20560833
428.047394,52.65191267,48.29425433
428.407379,52.689032,48.50362633
428.767303,52.75557067,48.65061067
429.127167,52.80403133,48.709057
429.487061,52.73703233,48.716882
429.846863,52.81927733,48.80349867
430.206665,52.79186367,48.908179
430.566437,52.800935,49.021823
430.926117,52.839718,49.07717133
431.285828,52.83955,49.182958
431.645447,52.798645,49.243707
432.005035,52.82215767,49.32519667
432.364655,52.892114,49.29247767
432.724182,52.91051867,49.33908067
433.08371,52.8534,49.38042233
433.443207,52.93992733,49.417174
433.802582,52.946813,49.406213
434.162018,52.957368,49.375361
434.521362,52.900814,49.393234
434.880676,52.90052667,49.32616067
435.23999,52.87243167,49.33395
435.599243,52.83874267,49.38100667
435.958496,52.77354567,49.353373
436.317657,52.755717,49.258017
436.676819,52.72542567,49.238093
437.03595,52.75374333,49.22802233
437.39502,52.70431633,49.17426533
437.754059,52.63991167,49.15839133
438.113068,52.63911933,49.12855667
438.472046,52.65451033,49.11040867
438.830994,52.65730433,49.10020333
439.189911,52.59327167,49.16115967
439.548798,52.57341133,49.15399933
439.907593,52.45203033,49.16982133
440.266388,52.39114767,49.13562
440.625122,52.34846633,49.14734
440.983856,52.240391,49.196481
441.342621,52.1539,49.258596
441.701263,52.054516,49.24755833
442.059875,51.94028733,49.269329
442.418457,51.93209367,49.29977033
442.777008,51.87586733,49.286775
443.135498,51.76286167,49.29328433
443.493958,51.68860633,49.31533167
443.852448,51.62072867,49.34075533
444.210876,51.561713,49.36712133
444.569214,51.485372,49.44022867
444.927551,51.404747,49.45714533
445.285858,51.381967,49.47025067
445.644104,51.35089633,49.527663
446.002319,51.257818,49.58692033
446.360504,51.17487333,49.63012333
446.718719,51.175176,49.600114
447.076843,51.14747267,49.66586033
447.434906,51.162081,49.72314833
447.792938,51.143646,49.789922
448.15094,51.11912667,49.80992133
448.508911,51.093047,49.86990867
448.866852,51.08573667,49.92585767
449.224731,51.14918633,50.005751
449.582672,51.17151233,50.07780933
449.940491,51.120261,50.14732467
450.298279,51.15835833,50.22894
450.656067,51.24551767,50.31915933
451.013733,51.29696667,50.34554033
451.371429,51.27464533,50.43640367
451.729095,51.30953467,50.55095667
452.0867,51.31617733,50.63149767
452.444336,51.344991,50.77969367
452.80188,51.407,50.879664
453.159363,51.39010267,50.96698
453.516815,51.344224,51.05583067
453.874237,51.41085667,51.09332667
454.231628,51.44368767,51.169454
454.588989,51.47962833,51.171707
454.94632,51.50158933,51.19382833
455.30365,51.46550233,51.20315167
455.660919,51.48506533,51.11546567
456.018127,51.52522133,51.00217067
456.375305,51.623806,50.90047567
456.732422,51.60013333,50.77333433
457.089539,51.61917,50.69530967
457.446594,51.65051367,50.64299267
457.80365,51.619377,50.594592
458.160706,51.545826,50.53635267
458.517639,51.495771,50.58572267
458.874542,51.50722633,50.58436833
459.231445,51.436113,50.56458133
459.588287,51.457441,50.53384767
459.945099,51.44694533,50.51855333
460.30188,51.41824333,50.55948133
460.6586,51.422867,50.582474
461.015381,51.491343,50.52687067
461.37204,51.436245,50.62789033
461.728668,51.407074,50.630268
462.085266,51.378263,50.69665867
462.441803,51.35798867,50.739774
462.798309,51.51014067,50.81319533
463.154816,51.486163,50.90942767
463.511261,51.46033267,51.007319
463.867706,51.35142133,51.11702233
464.224091,51.35647333,51.31330633
464.580444,51.32737333,51.43554433
464.936737,51.25220633,51.615954
465.292999,51.21906533,51.76007967
465.6492,51.235677,51.86279167
466.005402,51.27663433,51.94756033
466.361542,51.23007733,52.011326
466.717712,51.327362,52.08124767
467.073792,51.21215067,52.14923867
467.42984,51.213727,52.25151167
467.785828,51.23626067,52.30866367
468.141815,51.20628867,52.39289333
468.497742,51.13682167,52.48827333
468.853638,51.09463733,52.53023933
469.209503,51.128142,52.65370067
469.565369,51.105578,52.752913
469.921143,51.06873833,52.81791167
470.276886,50.92917,52.83063633
470.632599,50.88083767,52.93616633
470.988281,50.817093,53.01016633
471.343933,50.77017967,53.053778
471.699493,50.63136033,53.106805
472.055054,50.63424567,53.16618633
472.410675,50.63748033,53.134393
472.766144,50.56898,53.119499
473.121582,50.493304,53.093179
473.47702,50.42851267,53.07707067
473.832397,50.36943567,53.14511733
474.187714,50.31709133,53.19383633
474.54303,50.328134,53.16903433
474.898315,50.29322533,53.082293
475.253571,50.16921867,53.04594567
475.608765,50.07547867,52.97159933
475.963928,50.08035767,52.91871867
476.319,50.01438667,52.87011233
476.674103,49.927119,52.84204867
477.029144,49.867615,52.736299
477.384125,49.842612,52.722832
477.739166,49.78729767,52.648701
478.094086,49.77239467,52.547816
478.448975,49.762894,52.436775
478.803833,49.78588367,52.28003167
479.158661,49.84485267,52.04732133
479.513458,49.85465867,51.754958
479.868164,49.91597333,51.40835433
480.22287,50.18885133,51.17109567
480.577606,50.625178,51.08741867
480.932251,50.93164833,50.988646
481.286835,51.04707733,50.748974
481.641388,50.97383733,50.50879267
481.995911,50.92133567,50.33789733
482.350403,50.841058,50.16785167
482.704834,50.79409167,50.03809333
483.059204,50.79176067,49.897157
483.413666,50.79540367,49.80179333
483.767975,50.80776333,49.66637033
484.122284,50.844401,49.54054267
484.476532,50.86306233,49.431829
484.83075,50.85326367,49.30257033
485.184937,50.85591767,49.18810667
485.539063,50.86133467,49.07955267
485.893158,50.875811,48.99637333
486.247284,50.84258267,48.93238167
486.601318,50.83610933,48.89058033
486.955322,50.82747533,48.87696867
487.309265,50.80639933,48.91976267
487.663177,50.72570267,48.86864733
488.017059,50.511424,48.75478367
488.370911,50.330167,48.61108667
488.724701,50.26952867,48.55878167
489.078522,50.281315,48.61728633
489.432251,50.32394033,48.61619733
489.785919,50.35775367,48.65862133
490.139587,50.386677,48.688375
490.493195,50.38890967,48.751048
490.846771,50.37199933,48.80571733
491.200287,50.37620533,48.90944533
491.553802,50.33282367,49.02195767
491.907318,50.300176,49.09793333
492.260742,50.303721,49.22406367
492.614105,50.327468,49.34853733
492.967468,50.35007467,49.46541233
493.32077,50.36879733,49.60117733
493.674042,50.43988667,49.72134433
494.027283,50.474747,49.82179533
494.380463,50.514805,49.90579367
494.733673,50.49926267,49.96670167
495.086792,50.46271167,50.124293
495.43988,50.416368,50.24979267
